sim,gate,omp,ctrl,tgt,qubits,gate_name,t_avg,t_ratio,kernel
LightningOMPBinStream,CNOT,4,1,25,30,CNOT,221.228,1/1000,AVX512
LightningOMPBinStream,CNOT,16,1,25,30,CNOT,81.9142,1/1000,AVX512
LightningOMPBinStream,CNOT,32,1,25,30,CNOT,74.7821,1/1000,AVX512
LightningOMPBinStream,CNOT,1,1,26,30,CNOT,836.751,1/1000,AVX512
LightningOMPBinStream,CNOT,4,1,26,30,CNOT,219.182,1/1000,AVX512
LightningOMPBinStream,CNOT,16,1,26,30,CNOT,81.8937,1/1000,AVX512
LightningOMPBinStream,CNOT,32,1,26,30,CNOT,74.5146,1/1000,AVX512
LightningOMPBinStream,CNOT,1,1,27,30,CNOT,793.797,1/1000,AVX512
LightningOMPBinStream,CNOT,4,1,27,30,CNOT,210.38,1/1000,AVX512
LightningOMPBinStream,CNOT,16,1,27,30,CNOT,82.3784,1/1000,AVX512
LightningOMPBinStream,CNOT,32,1,27,30,CNOT,75.1338,1/1000,AVX512
LightningOMPBinStream,CNOT,1,1,28,30,CNOT,808.341,1/1000,AVX512
LightningOMPBinStream,CNOT,4,1,28,30,CNOT,217.231,1/1000,AVX512
LightningOMPBinStream,CNOT,16,1,28,30,CNOT,83.5074,1/1000,AVX512
LightningOMPBinStream,CNOT,32,1,28,30,CNOT,74.347,1/1000,AVX512
LightningOMPBinStream,CNOT,1,1,29,30,CNOT,808.397,1/1000,AVX512
LightningOMPBinStream,CNOT,4,1,29,30,CNOT,217.193,1/1000,AVX512
LightningOMPBinStream,CNOT,16,1,29,30,CNOT,83.6804,1/1000,AVX512
LightningOMPBinStream,CNOT,32,1,29,30,CNOT,74.3347,1/1000,AVX512
LightningOMPBinStream,CNOT,1,2,0,30,CNOT,706.197,1/1000,AVX512
LightningOMPBinStream,CNOT,4,2,0,30,CNOT,191.863,1/1000,AVX512
LightningOMPBinStream,CNOT,16,2,0,30,CNOT,79.3505,1/1000,AVX512
LightningOMPBinStream,CNOT,32,2,0,30,CNOT,75.9142,1/1000,AVX512
LightningOMPBinStream,CNOT,1,2,1,30,CNOT,721.061,1/1000,AVX512
LightningOMPBinStream,CNOT,4,2,1,30,CNOT,192.303,1/1000,AVX512
LightningOMPBinStream,CNOT,16,2,1,30,CNOT,79.5238,1/1000,AVX512
LightningOMPBinStream,CNOT,32,2,1,30,CNOT,75.9702,1/1000,AVX512
LightningOMPBinStream,CNOT,1,2,3,30,CNOT,706.407,1/1000,AVX512
LightningOMPBinStream,CNOT,4,2,3,30,CNOT,191.907,1/1000,AVX512
LightningOMPBinStream,CNOT,16,2,3,30,CNOT,79.4595,1/1000,AVX512
LightningOMPBinStream,CNOT,32,2,3,30,CNOT,76.1706,1/1000,AVX512
LightningOMPBinStream,CNOT,1,2,4,30,CNOT,720.35,1/1000,AVX512
LightningOMPBinStream,CNOT,4,2,4,30,CNOT,191.742,1/1000,AVX512
LightningOMPBinStream,CNOT,16,2,4,30,CNOT,79.5732,1/1000,AVX512
LightningOMPBinStream,CNOT,32,2,4,30,CNOT,76.1228,1/1000,AVX512
LightningOMPBinStream,CNOT,1,2,5,30,CNOT,718.478,1/1000,AVX512
LightningOMPBinStream,CNOT,4,2,5,30,CNOT,191.979,1/1000,AVX512
LightningOMPBinStream,CNOT,16,2,5,30,CNOT,79.4464,1/1000,AVX512
LightningOMPBinStream,CNOT,32,2,5,30,CNOT,76.1986,1/1000,AVX512
LightningOMPBinStream,CNOT,1,2,6,30,CNOT,719.499,1/1000,AVX512
LightningOMPBinStream,CNOT,4,2,6,30,CNOT,191.909,1/1000,AVX512
LightningOMPBinStream,CNOT,16,2,6,30,CNOT,79.4102,1/1000,AVX512
LightningOMPBinStream,CNOT,32,2,6,30,CNOT,76.0694,1/1000,AVX512
LightningOMPBinStream,CNOT,1,2,7,30,CNOT,720.155,1/1000,AVX512
LightningOMPBinStream,CNOT,4,2,7,30,CNOT,188.323,1/1000,AVX512
LightningOMPBinStream,CNOT,16,2,7,30,CNOT,79.3805,1/1000,AVX512
LightningOMPBinStream,CNOT,32,2,7,30,CNOT,76.0545,1/1000,AVX512
LightningOMPBinStream,CNOT,1,2,8,30,CNOT,718.337,1/1000,AVX512
LightningOMPBinStream,CNOT,4,2,8,30,CNOT,191.83,1/1000,AVX512
LightningOMPBinStream,CNOT,16,2,8,30,CNOT,79.3903,1/1000,AVX512
LightningOMPBinStream,CNOT,32,2,8,30,CNOT,76.0418,1/1000,AVX512
LightningOMPBinStream,CNOT,1,2,9,30,CNOT,693.335,1/1000,AVX512
LightningOMPBinStream,CNOT,4,2,9,30,CNOT,191.882,1/1000,AVX512
LightningOMPBinStream,CNOT,16,2,9,30,CNOT,79.4394,1/1000,AVX512
LightningOMPBinStream,CNOT,32,2,9,30,CNOT,76.0824,1/1000,AVX512
LightningOMPBinStream,CNOT,1,2,10,30,CNOT,693.19,1/1000,AVX512
LightningOMPBinStream,CNOT,4,2,10,30,CNOT,191.961,1/1000,AVX512
LightningOMPBinStream,CNOT,16,2,10,30,CNOT,79.4543,1/1000,AVX512
LightningOMPBinStream,CNOT,32,2,10,30,CNOT,76.2431,1/1000,AVX512
LightningOMPBinStream,CNOT,1,2,11,30,CNOT,693.839,1/1000,AVX512
LightningOMPBinStream,CNOT,4,2,11,30,CNOT,191.98,1/1000,AVX512
LightningOMPBinStream,CNOT,16,2,11,30,CNOT,79.412,1/1000,AVX512
LightningOMPBinStream,CNOT,32,2,11,30,CNOT,76.1253,1/1000,AVX512
LightningOMPBinStream,CNOT,1,2,12,30,CNOT,693.32,1/1000,AVX512
LightningOMPBinStream,CNOT,4,2,12,30,CNOT,192.068,1/1000,AVX512
LightningOMPBinStream,CNOT,16,2,12,30,CNOT,87.2158,1/1000,AVX512
LightningOMPBinStream,CNOT,32,2,12,30,CNOT,82.3082,1/1000,AVX512
LightningOMPBinStream,CNOT,1,2,13,30,CNOT,751.583,1/1000,AVX512
LightningOMPBinStream,CNOT,4,2,13,30,CNOT,200.997,1/1000,AVX512
LightningOMPBinStream,CNOT,16,2,13,30,CNOT,87.2949,1/1000,AVX512
LightningOMPBinStream,CNOT,32,2,13,30,CNOT,82.4999,1/1000,AVX512
LightningOMPBinStream,CNOT,1,2,14,30,CNOT,744.954,1/1000,AVX512
LightningOMPBinStream,CNOT,4,2,14,30,CNOT,200.911,1/1000,AVX512
LightningOMPBinStream,CNOT,16,2,14,30,CNOT,87.4455,1/1000,AVX512
LightningOMPBinStream,CNOT,32,2,14,30,CNOT,82.3228,1/1000,AVX512
LightningOMPBinStream,CNOT,1,2,15,30,CNOT,739.57,1/1000,AVX512
LightningOMPBinStream,CNOT,4,2,15,30,CNOT,201.746,1/1000,AVX512
LightningOMPBinStream,CNOT,16,2,15,30,CNOT,87.2822,1/1000,AVX512
LightningOMPBinStream,CNOT,32,2,15,30,CNOT,94.6943,1/1000,AVX512
LightningOMPBinStream,CNOT,1,2,16,30,CNOT,704.515,1/1000,AVX512
LightningOMPBinStream,CNOT,4,2,16,30,CNOT,189.814,1/1000,AVX512
LightningOMPBinStream,CNOT,16,2,16,30,CNOT,77.4846,1/1000,AVX512
LightningOMPBinStream,CNOT,32,2,16,30,CNOT,74.2374,1/1000,AVX512
LightningOMPBinStream,CNOT,1,2,17,30,CNOT,736.818,1/1000,AVX512
LightningOMPBinStream,CNOT,4,2,17,30,CNOT,200.474,1/1000,AVX512
LightningOMPBinStream,CNOT,16,2,17,30,CNOT,86.6116,1/1000,AVX512
LightningOMPBinStream,CNOT,32,2,17,30,CNOT,81.5523,1/1000,AVX512
